analysis_category,date_value,cve_count,activity_classification
DAILY_TREND,2025-07-17T19:12:08.177Z,1,Normal
DAILY_TREND,2025-07-17T19:11:07.080Z,1,Normal
DAILY_TREND,2025-07-17T19:02:36.400Z,1,Normal
DAILY_TREND,2025-07-17T00:00:00.000Z,1,Normal
DAILY_TREND,2025-07-16T11:15:03.412Z,1,Normal
DAILY_TREND,2025-07-16T11:07:55.848Z,1,Normal
DAILY_TREND,2025-07-16T11:02:51.419Z,1,Normal
DAILY_TREND,2025-07-16T10:55:35.408Z,1,Normal
DAILY_TREND,2025-07-16T10:47:55.853Z,1,Normal
DAILY_TREND,2025-07-16T10:14:28.966Z,1,Normal
DAILY_TREND,2025-07-16T00:00:00.000Z,1,Normal
DAILY_TREND,2025-07-15T00:00:00.000Z,1,Normal
DAILY_TREND,2025-07-14T10:33:55.109Z,1,Normal
DAILY_TREND,2025-07-14T10:29:34.881Z,1,Normal
DAILY_TREND,2025-07-14T10:26:00.842Z,1,Normal
DAILY_TREND,2025-07-14T10:18:48.455Z,1,Normal
DAILY_TREND,2025-07-14T09:18:18.045Z,1,Normal
DAILY_TREND,2025-07-14T08:19:58.940Z,1,Normal
DAILY_TREND,2025-07-14T08:12:16.139Z,1,Normal
DAILY_TREND,2025-07-14T00:00:00.000Z,1,Normal
DAILY_TREND,2025-07-13T00:00:00.000Z,1,Normal
DAILY_TREND,2025-07-12T16:22:35.724Z,1,Normal
DAILY_TREND,2025-07-12T03:30:40.276Z,1,Normal
DAILY_TREND,2025-07-11T17:00:44.221Z,1,Normal
DAILY_TREND,2025-07-10T16:56:07.720Z,1,Normal
DAILY_TREND,2025-07-10T16:55:20.013Z,1,Normal
DAILY_TREND,2025-07-10T16:54:15.759Z,1,Normal
DAILY_TREND,2025-07-10T16:53:13.201Z,1,Normal
DAILY_TREND,2025-07-10T14:15:19.208Z,1,Normal
DAILY_TREND,2025-07-10T14:14:40.562Z,1,Normal
DAILY_TREND,2025-07-10T14:12:17.681Z,1,Normal
DAILY_TREND,2025-07-10T10:02:58.567Z,1,Normal
DAILY_TREND,2025-07-10T00:00:00.000Z,1,Normal
DAILY_TREND,2025-07-08T22:41:47.826Z,1,Normal
DAILY_TREND,2025-07-08T18:36:50.595Z,1,Normal
DAILY_TREND,2025-07-08T18:35:23.609Z,1,Normal
DAILY_TREND,2025-07-08T17:01:48.957Z,1,Normal
DAILY_TREND,2025-07-08T16:56:39.834Z,1,Normal
DAILY_TREND,2025-07-08T16:42:32.665Z,1,Normal
DAILY_TREND,2025-07-08T16:42:17.471Z,1,Normal
DAILY_TREND,2025-07-08T14:41:38.347Z,1,Normal
DAILY_TREND,2025-07-08T14:41:34.245Z,1,Normal
DAILY_TREND,2025-07-08T12:48:44.614Z,1,Normal
DAILY_TREND,2025-07-08T10:34:22.862Z,1,Normal
DAILY_TREND,2025-07-08T10:34:21.527Z,1,Normal
DAILY_TREND,2025-07-07T17:45:51.426Z,1,Normal
DAILY_TREND,2025-07-07T09:53:15.596Z,1,Normal
